file_name,transcript,gender
Darrr_uk_0046.wav,"Здоров’я не знайдеш, не подаруєш, не вкрадеш. Його можна тільки напрацювати і не відкладати лікування на завтра, бо завтра може і не настати. 
",f
Darrr_uk_0047.wav,"Лише той щось значить, хто щось любить. Не бути нічим і нічого не любити - одне і те ж. 
",f
Darrr_uk_0048.wav,"Кажуть минає все, окрім самотності. 
",f
Darrr_uk_0049.wav,"Майже щоденно хтось із них помирає, але вони навіть не зважають на це і живуть так, немовби завжди на тій землі жити мають. 
",f
Darrr_uk_0050.wav,"Вона вісім років не мала дітей і от нарешті була при надії. 
",f
Darrr_uk_0001.wav,"Три наріччя української мови виділялися не завжди. За давньоруської доби на території сучасної України населення утворювало дві етнічно-мовні групи — північно-східну і південно-західну. 
",f
Darrr_uk_0002.wav,"Українська мова є однією з наймилозвучніших мов світу. Довкола походження та становлення української мови існує декілька гіпотез — праслов'янська, давньоруська, південноруська та інші. 
",f
Darrr_uk_0003.wav,"А сонечко встане, як перше вставало, і зорі червоні, як перше плили, попливуть і потім, і ти, білолиций. 
",f
Darrr_uk_0004.wav,"Ще треті півні не співали, Ніхто нігде не гомонів. 
",f
Taras_uk_0047.wav,"Лише той щось значить, хто щось любить. Не бути нічим і нічого не любити - одне і те ж. 
",m
Taras_uk_0048.wav,"Кажуть минає все, окрім самотності. 
",m
Taras_uk_0049.wav,"Майже щоденно хтось із них помирає, але вони навіть не зважають на це і живуть так, немовби завжди на тій землі жити мають. 
",m
Taras_uk_0050.wav,"Вона вісім років не мала дітей і от нарешті була при надії. 
",m
Taras_uk_0001.wav,"Три наріччя української мови виділялися не завжди. За давньоруської доби на території сучасної України населення утворювало дві етнічно-мовні групи — північно-східну і південно-західну. 
",m
Taras_uk_0002.wav,"Українська мова є однією з наймилозвучніших мов світу. Довкола походження та становлення української мови існує декілька гіпотез — праслов'янська, давньоруська, південноруська та інші. 
",m
Taras_uk_0003.wav,"А сонечко встане, як перше вставало, і зорі червоні, як перше плили, попливуть і потім, і ти, білолиций. 
",m
Taras_uk_0004.wav,"Ще треті півні не співали, Ніхто нігде не гомонів. 
",m
Taras_uk_0005.wav,"Людям не те що позакладало вуха – людям позакладало душі.. 
",m
Taras_uk_0006.wav,"жах не в тому, що щось змінеться, - жах у тому, що все може залишитися так само.. 
",m
Alias_uk_0020.wav,"Завжди знайдуться люди, які зроблять тобі боляче. Треба продовжувати довіряти людям, просто бути трохи обережнішим. 
",m
Alias_uk_0021.wav,"Один хлопець поступається місцем знайомій дівчині і всю дорогу з нею жартує. 
",m
Alias_uk_0022.wav,"Тож не дивно, що протягом тижня Львовом поширювалися чутки, що частину квитків нібито зняли з продажу саме через неготовність секторів. 
",m
Alias_uk_0023.wav,"Будить мій тато молодшого брата до школи. 
",m
Alias_uk_0024.wav,"Скільки коштуватиме організаторам дійство за участю української та американської «зірки», тримають у таємниці. 
",m
Alias_uk_0025.wav,"Скромніше, але теж чимало просить за виступ Руслана. 
",m
Alias_uk_0026.wav,"Іноді люди роблять зло іншим тільки через те, що мають таку можливість. 
",m
Alias_uk_0027.wav,"Запрошення також роздали волонтерам, студентам, учням і будівникам спортивного майданчика. 
",m
Alias_uk_0028.wav,"Не забувай про послуги, які тобі надали, але забудь про ті, які ти сам комусь надав. 
",m
Alias_uk_0029.wav,"Завжди здається, що нас люблять за те, що ми хороші. І не здогадуємося, що люблять нас тому, що хорошими є ті, хто нас любить. 
",m
